Frame,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Q0,Qx,Qy,Qz,Tx,Ty,Tz
430288,-0.0959226,0.8784839,0.1265367,-0.4506145,-70.101,-2.946,4.77,0.0086281,0.6639466,0.7475485,0.0164819,-84.123,-7.071,-52.437,0.6833594,-0.6665611,0.1654393,0.2476813,47.614,5.066,-377.183,0.0451468,0.4522805,-0.8902999,-0.0277516,-178.37,26.792,172.473
430296,-0.0964657,0.8784794,0.1266331,-0.4504801,-70.162,-2.991,4.755,0.0080857,0.6640339,0.7474574,0.0173536,-84.159,-7.067,-52.424,0.6827256,-0.6673674,0.1650511,0.247517,47.732,5.036,-377.244,0.044719,0.4523805,-0.8902487,-0.0284489,-178.475,26.333,172.471
430304,-0.0961621,0.878532,0.1268963,-0.4503684,-70.329,-2.878,4.849,0.008091,0.6636895,0.7477596,0.017504,-84.31,-7.02,-52.377,0.6826507,-0.6676289,0.1649648,0.2470755,47.887,4.878,-377.259,0.0447841,0.4525153,-0.8901845,-0.0282099,-178.62,26.287,172.46
430312,-0.0958463,0.8786294,0.1264225,-0.450379,-70.38,-2.872,4.793,0.0082328,0.6637367,0.7477093,0.0177921,-84.298,-6.925,-52.297,0.6825586,-0.6676888,0.1652452,0.2469807,47.866,4.774,-377.202,0.0450087,0.4526278,-0.8900931,-0.0289232,-178.707,26.371,172.424
430320,-0.0964696,0.8787937,0.1262575,-0.4499715,-70.278,-2.93,4.848,0.0081767,0.6641885,0.7472955,0.0183344,-84.178,-6.852,-52.257,0.6821143,-0.6679326,0.1656794,0.2472579,47.706,4.702,-377.162,0.0447905,0.4521774,-0.8903059,-0.0297464,-178.613,26.382,172.413
430328,-0.0969739,0.8788375,0.1262836,-0.4497701,-70.232,-3.028,4.882,0.0081183,0.6646308,0.7468904,0.0188348,-84.06,-6.946,-52.169,0.681734,-0.6682479,0.1658617,0.2473325,47.631,4.583,-377.257,0.0445066,0.4515878,-0.8906347,-0.0292825,-178.518,26.211,172.369
430336,-0.0969458,0.8788067,0.1267583,-0.4497029,-70.313,-2.955,4.934,0.0082803,0.6641533,0.7473092,0.0189924,-84.138,-6.936,-52.081,0.6816756,-0.6684046,0.1659364,0.2470198,47.71,4.418,-377.272,0.0446227,0.4516179,-0.8906087,-0.0294325,-178.62,26.129,172.372
430344,-0.0967122,0.8789695,0.1263081,-0.4495616,-70.215,-2.916,4.969,0.0087734,0.664469,0.7470259,0.0188776,-83.976,-6.829,-52.043,0.6818225,-0.6680184,0.1666523,0.2471772,47.495,4.329,-377.163,0.044713,0.4510511,-0.8909036,-0.0290602,-178.446,26.428,172.303
430352,-0.0966687,0.8789136,0.1260814,-0.4497438,-70.145,-2.987,4.93,0.0090323,0.6648237,0.7467191,0.0183981,-83.924,-6.866,-52.062,0.6821755,-0.6674729,0.16688,0.2475228,47.371,4.449,-377.083,0.0451733,0.4506163,-0.8911135,-0.0286548,-178.218,26.72,172.233
430360,-0.0968489,0.8788348,0.1261139,-0.4498499,-70.142,-3.112,4.918,0.009172,0.6649377,0.7466187,0.0182852,-83.888,-6.998,-52.033,0.6822307,-0.667339,0.167,0.247651,47.321,4.447,-377.173,0.0449208,0.450062,-0.8914492,-0.027288,-178.117,26.673,172.178
